,singleSetAffix,affixName,affixDisplayName,affixTitle,affixId,levelRequirement,type,standardAffixEffectModifier,rerollChance,group,canRollOn,specificRerollChances,rollsOn,classSpecificity,tiers,titleType,t6Compatibility,affixProperties,rarityTier
24,False,Lightning Resistance,Lightning Resistance,of Sparks,24,0,1,0,0.3,0,"[0, 1, 2, 3, 4, 18, 19, 20, 21, 22, 17]","[{'equipmentType': 3, 'rerollChance': 0.7}, {'equipmentType': 17, 'rerollChance': 0.7}]",0,0,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.05, 'max': 0.09}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.1, 'max': 0.14}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.15, 'max': 0.21}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.22, 'max': 0.29}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.3, 'max': 0.45}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.5, 'max': 0.6}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.61, 'max': 0.75}]}]",0,2,"[{'modDisplayName': None, 'property': 15, 'specialTag': 0, 'tags': 0, 'modifierType': 0, 'setProperty': 0}]",T3
34,False,Added Mana,Mana,Manafused,34,0,0,0,0,3,"[22, 4, 19, 20, 0, 1]",[],0,0,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 6, 'max': 10}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 11, 'max': 17}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 18, 'max': 25}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 26, 'max': 35}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 36, 'max': 50}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 65, 'max': 80}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 81, 'max': 100}]}]",0,0,"[{'modDisplayName': None, 'property': 8, 'specialTag': 0, 'tags': 0, 'modifierType': 0, 'setProperty': 0}]",T4
78,False,Added Melee Cold Damage,Melee Cold Damage,Shattering,78,0,0,0.75,0.25,3,"[12, 13, 14, 15, 16, 5, 6, 7, 8, 9, 11]","[{'equipmentType': 8, 'rerollChance': 0}, {'equipmentType': 15, 'rerollChance': 0}, {'equipmentType': 7, 'rerollChance': 0}, {'equipmentType': 13, 'rerollChance': 0}]",0,0,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 3, 'max': 6}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 7, 'max': 10}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 11, 'max': 15}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 16, 'max': 20}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 21, 'max': 26}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 36, 'max': 44}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 45, 'max': 55}]}]",0,0,"[{'modDisplayName': None, 'property': 0, 'specialTag': 0, 'tags': 516, 'modifierType': 0, 'setProperty': 0}]",T3
62,False,Added Melee Crit Chance,Melee Critical Strike Chance,Slayer's,62,0,0,0.75,0.2,3,"[5, 6, 7, 8, 9, 16, 11, 12, 13, 14, 15]","[{'equipmentType': 14, 'rerollChance': 0}]",0,0,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.01, 'max': 0.01}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.02, 'max': 0.02}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.03, 'max': 0.03}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.04, 'max': 0.04}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.05, 'max': 0.05}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.07, 'max': 0.08}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.09, 'max': 0.1}]}]",0,0,"[{'modDisplayName': None, 'property': 4, 'specialTag': 0, 'tags': 512, 'modifierType': 0, 'setProperty': 0}]",T4
77,False,Added Melee Fire Damage,Melee Fire Damage,Flaming,77,0,0,0.75,0.25,3,"[12, 13, 14, 15, 16, 5, 6, 7, 8, 9, 11]","[{'equipmentType': 8, 'rerollChance': 0}, {'equipmentType': 15, 'rerollChance': 0}, {'equipmentType': 5, 'rerollChance': 0}, {'equipmentType': 12, 'rerollChance': 0}]",0,0,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 3, 'max': 6}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 7, 'max': 10}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 11, 'max': 15}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 16, 'max': 20}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 21, 'max': 26}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 36, 'max': 44}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 45, 'max': 55}]}]",0,0,"[{'modDisplayName': None, 'property': 0, 'specialTag': 0, 'tags': 520, 'modifierType': 0, 'setProperty': 0}]",T3
79,False,Added Melee Lightning Damage,Melee Lightning Damage,Hurricane,79,0,0,0.75,0.25,3,"[12, 13, 14, 15, 16, 5, 6, 7, 8, 9, 11]","[{'equipmentType': 8, 'rerollChance': 0}, {'equipmentType': 15, 'rerollChance': 0}, {'equipmentType': 9, 'rerollChance': 0}, {'equipmentType': 16, 'rerollChance': 0}]",0,0,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 3, 'max': 6}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 7, 'max': 10}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 11, 'max': 15}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 16, 'max': 20}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 21, 'max': 26}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 36, 'max': 44}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 45, 'max': 55}]}]",0,0,"[{'modDisplayName': None, 'property': 0, 'specialTag': 0, 'tags': 514, 'modifierType': 0, 'setProperty': 0}]",T3
63,False,Added Melee Physical Damage,Melee Physical Damage,Marauder's,63,0,0,0.75,0,3,"[5, 6, 7, 8, 9, 16, 11, 12, 13, 14, 15]",[],0,0,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 3, 'max': 6}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 7, 'max': 10}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 11, 'max': 15}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 16, 'max': 20}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 21, 'max': 26}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 36, 'max': 44}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 45, 'max': 55}]}]",0,0,"[{'modDisplayName': None, 'property': 0, 'specialTag': 0, 'tags': 513, 'modifierType': 0, 'setProperty': 0}]",T4
76,False,Added Melee Void Damage,Melee Void Damage,Dark,76,0,0,0.75,0,3,"[12, 13, 14, 15, 16, 5, 6, 7, 8, 9, 11]","[{'equipmentType': 6, 'rerollChance': 0.8}]",0,0,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 3, 'max': 6}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 7, 'max': 10}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 11, 'max': 15}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 16, 'max': 20}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 21, 'max': 26}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 36, 'max': 44}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 45, 'max': 55}]}]",0,0,"[{'modDisplayName': None, 'property': 0, 'specialTag': 0, 'tags': 528, 'modifierType': 0, 'setProperty': 0}]",T4
10,False,Necrotic Resistance,Necrotic Resistance,of Purity,10,19,1,0,0,0,"[0, 1, 2, 3, 4, 18, 19, 20, 21, 22, 17]","[{'equipmentType': 5, 'rerollChance': 0.7}, {'equipmentType': 6, 'rerollChance': 0.7}, {'equipmentType': 7, 'rerollChance': 0.7}, {'equipmentType': 8, 'rerollChance': 0.7}, {'equipmentType': 9, 'rerollChance': 0.7}, {'equipmentType': 10, 'rerollChance': 0.7}, {'equipmentType': 12, 'rerollChance': 0.7}, {'equipmentType': 13, 'rerollChance': 0.7}, {'equipmentType': 14, 'rerollChance': 0.7}, {'equipmentType': 16, 'rerollChance': 0.7}, {'equipmentType': 11, 'rerollChance': 0.7}, {'equipmentType': 15, 'rerollChance': 0.7}, {'equipmentType': 3, 'rerollChance': 0.7}, {'equipmentType': 17, 'rerollChance': 0.7}]",0,0,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.05, 'max': 0.09}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.1, 'max': 0.14}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.15, 'max': 0.21}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.22, 'max': 0.29}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.3, 'max': 0.45}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.5, 'max': 0.6}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.61, 'max': 0.75}]}]",0,2,"[{'modDisplayName': None, 'property': 27, 'specialTag': 0, 'tags': 0, 'modifierType': 0, 'setProperty': 0}]",T4
19,False,Poison Resistance,Poison Resistance,of Remedy,19,10,1,0,0,0,"[0, 1, 2, 3, 4, 18, 19, 20, 21, 22, 17]","[{'equipmentType': 5, 'rerollChance': 0.7}, {'equipmentType': 6, 'rerollChance': 0.7}, {'equipmentType': 7, 'rerollChance': 0.7}, {'equipmentType': 8, 'rerollChance': 0.7}, {'equipmentType': 9, 'rerollChance': 0.7}, {'equipmentType': 10, 'rerollChance': 0.7}, {'equipmentType': 11, 'rerollChance': 0.7}, {'equipmentType': 12, 'rerollChance': 0.7}, {'equipmentType': 13, 'rerollChance': 0.7}, {'equipmentType': 14, 'rerollChance': 0.7}, {'equipmentType': 15, 'rerollChance': 0.7}, {'equipmentType': 16, 'rerollChance': 0.7}, {'equipmentType': 3, 'rerollChance': 0.7}, {'equipmentType': 17, 'rerollChance': 0.7}]",0,0,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.05, 'max': 0.09}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.1, 'max': 0.14}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.15, 'max': 0.21}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.22, 'max': 0.29}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.3, 'max': 0.45}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.5, 'max': 0.6}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.61, 'max': 0.75}]}]",0,2,"[{'modDisplayName': None, 'property': 28, 'specialTag': 0, 'tags': 0, 'modifierType': 0, 'setProperty': 0}]",T4
51,False,Added Stun Avoidance,Stun Avoidance,of Tenacity,51,13,1,0,0.5,0,"[1, 19]",[],0,0,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 21, 'max': 50}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 51, 'max': 100}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 101, 'max': 170}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 171, 'max': 250}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 251, 'max': 350}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 450, 'max': 550}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 551, 'max': 750}]}]",0,0,"[{'modDisplayName': None, 'property': 12, 'specialTag': 0, 'tags': 0, 'modifierType': 0, 'setProperty': 0}]",T2
7,False,Void Resistance,Void Resistance,of Hope,7,6,1,0,0,0,"[0, 1, 2, 4, 18, 19, 20, 21, 22, 3, 17]","[{'equipmentType': 5, 'rerollChance': 0.6}, {'equipmentType': 6, 'rerollChance': 0.6}, {'equipmentType': 7, 'rerollChance': 0.6}, {'equipmentType': 8, 'rerollChance': 0.6}, {'equipmentType': 9, 'rerollChance': 0.6}, {'equipmentType': 10, 'rerollChance': 0.6}, {'equipmentType': 11, 'rerollChance': 0.6}, {'equipmentType': 12, 'rerollChance': 0.6}, {'equipmentType': 13, 'rerollChance': 0.6}, {'equipmentType': 14, 'rerollChance': 0.6}, {'equipmentType': 15, 'rerollChance': 0.6}, {'equipmentType': 16, 'rerollChance': 0.6}, {'equipmentType': 3, 'rerollChance': 0.7}, {'equipmentType': 17, 'rerollChance': 0.7}]",0,0,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.05, 'max': 0.09}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.1, 'max': 0.14}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.15, 'max': 0.21}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.22, 'max': 0.29}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.3, 'max': 0.45}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.5, 'max': 0.6}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.61, 'max': 0.75}]}]",0,2,"[{'modDisplayName': None, 'property': 26, 'specialTag': 0, 'tags': 0, 'modifierType': 0, 'setProperty': 0}]",T4
50,False,All Attributes,All Attributes,of the Polymath,50,13,1,20.2,0,2,"[12, 13, 14, 16]",[],0,0,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 1, 'max': 1}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 2, 'max': 2}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 3, 'max': 3}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 4, 'max': 4}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 5, 'max': 5}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 7, 'max': 8}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 9, 'max': 10}]}]",0,0,"[{'modDisplayName': None, 'property': 46, 'specialTag': 0, 'tags': 0, 'modifierType': 0, 'setProperty': 0}]",T4
504,False,Attunement,Attunement,Attuned,504,5,0,0,0.3,5,"[0, 1, 3, 21, 4, 22]",[],0,11,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 1, 'max': 1}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 2, 'max': 2}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 3, 'max': 4}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 5, 'max': 6}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 7, 'max': 8}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 10, 'max': 12}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 13, 'max': 16}]}]",0,0,"[{'modDisplayName': None, 'property': 23, 'specialTag': 0, 'tags': 0, 'modifierType': 0, 'setProperty': 0}]",T3
49,False,Adaptive Spell Damage For Swords,Adaptive Spell Damage,Spellblade's,49,15,0,0.75,0,3,[9],[],0,0,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 3, 'max': 5}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 6, 'max': 8}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 9, 'max': 11}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 12, 'max': 14}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 15, 'max': 24}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 30, 'max': 38}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 39, 'max': 48}]}]",0,0,"[{'modDisplayName': None, 'property': 41, 'specialTag': 0, 'tags': 0, 'modifierType': 0, 'setProperty': 0}]",T4
68,False,Chance To Bleed,Chance to Bleed on Hit,of Wounds,68,0,1,0,0.3,3,"[5, 6, 9, 12, 14, 16, 23, 24, 17]",[],0,0,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.1, 'max': 0.12}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.13, 'max': 0.16}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.17, 'max': 0.2}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.2, 'max': 0.23}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.24, 'max': 0.3}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.38, 'max': 0.46}]}, {'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.47, 'max': 0.6}]}]",0,0,"[{'modDisplayName': None, 'property': 1, 'specialTag': 2, 'tags': 0, 'modifierType': 0, 'setProperty': 0}]",T3
