,singleSetAffix,affixName,affixDisplayName,affixTitle,affixId,levelRequirement,type,standardAffixEffectModifier,rerollChance,group,canRollOn,specificRerollChances,rollsOn,classSpecificity,tiers,titleType,t6Compatibility,affixProperties,rarityTier
162,False,Idol Primalist Shared Crit Avoidance,Critical Strike Avoidance for You and Your Minions,of Agility,162,0,1,0,0,0,"[30, 32]",[],1,2,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.15, 'max': 0.4}, {'min': 0.15, 'max': 0.4}]}]",0,0,"[{'modDisplayName': 'Critical Strike Avoidance', 'property': 89, 'specialTag': 0, 'tags': 0, 'modifierType': 0, 'setProperty': 0}, {'modDisplayName': 'Minion Critical Strike Avoidance', 'property': 89, 'specialTag': 0, 'tags': 8192, 'modifierType': 0, 'setProperty': 0}]",T4
168,False,Idol Primalist Shared Increased Critical Strike Chance With Lightning Skills,Critical Strike Chance with Lightning Skills for You and Your Minions,of Thunder,168,0,1,0,0,0,"[30, 32]",[],1,2,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.19, 'max': 0.5}, {'min': 0.19, 'max': 0.5}]}]",0,0,"[{'modDisplayName': 'Critical Strike Chance With Lightning Skills', 'property': 4, 'specialTag': 0, 'tags': 2, 'modifierType': 1, 'setProperty': 0}, {'modDisplayName': 'Minion Critical Strike Chance With Lightning Skills', 'property': 4, 'specialTag': 0, 'tags': 8194, 'modifierType': 1, 'setProperty': 0}]",T4
169,False,Idol Primalist Increased Cold And Lightning Damage,Cold and Lightning Damage,of the Tempest,169,0,1,0,0,0,"[29, 31, 33]",[],1,2,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.18, 'max': 0.48}, {'min': 0.18, 'max': 0.48}]}]",0,0,"[{'modDisplayName': 'Cold Damage', 'property': 0, 'specialTag': 0, 'tags': 4, 'modifierType': 1, 'setProperty': 0}, {'modDisplayName': 'Lightning Damage', 'property': 0, 'specialTag': 0, 'tags': 2, 'modifierType': 1, 'setProperty': 0}]",T4
170,False,Idol Primalist Shared Increased Spell Damage,Spell Damage For You And Your Minions,of Stars,170,0,1,0,0,0,"[30, 32]",[],1,2,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.18, 'max': 0.48}, {'min': 0.18, 'max': 0.48}]}]",0,0,"[{'modDisplayName': 'Spell Damage', 'property': 0, 'specialTag': 0, 'tags': 256, 'modifierType': 1, 'setProperty': 0}, {'modDisplayName': 'Minion Spell Damage', 'property': 0, 'specialTag': 0, 'tags': 8448, 'modifierType': 1, 'setProperty': 0}]",T4
171,False,Idol Primalist Shared Increased Melee Damage,Melee Damage For You And Your Minions,of War,171,0,1,0,0,0,"[30, 32]",[],1,2,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.18, 'max': 0.48}, {'min': 0.18, 'max': 0.48}]}]",0,0,"[{'modDisplayName': 'Melee Damage', 'property': 0, 'specialTag': 0, 'tags': 512, 'modifierType': 1, 'setProperty': 0}, {'modDisplayName': 'Minion Melee Damage', 'property': 0, 'specialTag': 0, 'tags': 8704, 'modifierType': 1, 'setProperty': 0}]",T4
172,False,Idol Primalist Increased Physical And Poison Damage,Physical And Poison Damage,of the Scorpion,172,0,1,0,0,0,"[30, 32]",[],1,2,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.18, 'max': 0.48}, {'min': 0.18, 'max': 0.48}]}]",0,0,"[{'modDisplayName': 'Physical Damage', 'property': 0, 'specialTag': 0, 'tags': 1, 'modifierType': 1, 'setProperty': 0}, {'modDisplayName': 'Poison Damage', 'property': 0, 'specialTag': 0, 'tags': 64, 'modifierType': 1, 'setProperty': 0}]",T4
173,False,Idol Primalist Shared Increased Damage Over Time,Damage Over Time For You And Your Minions,of the Hive,173,0,1,0,0,0,"[30, 32]",[],1,2,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.18, 'max': 0.48}, {'min': 0.18, 'max': 0.48}]}]",0,0,"[{'modDisplayName': 'Damage Over Time', 'property': 0, 'specialTag': 0, 'tags': 4096, 'modifierType': 1, 'setProperty': 0}, {'modDisplayName': 'Minion Damage Over Time', 'property': 0, 'specialTag': 0, 'tags': 12288, 'modifierType': 1, 'setProperty': 0}]",T4
167,False,Idol Mage Increased Ignite And Spreading Flames Duration,Ignite And Spreading Flames Duration,Wildfire,167,0,0,0,0,0,[31],[],1,4,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.07, 'max': 0.25}, {'min': 0.07, 'max': 0.25}]}]",0,0,"[{'modDisplayName': 'Ignite Duration', 'property': 42, 'specialTag': 1, 'tags': 0, 'modifierType': 0, 'setProperty': 0}, {'modDisplayName': 'Spreading Flames Duration', 'property': 42, 'specialTag': 24, 'tags': 0, 'modifierType': 0, 'setProperty': 0}]",T4
210,False,Idol Sentinel Shared Damage Reflect,Damage Reflected For You And Your Minions,of Riposting,210,0,1,0,0,0,"[29, 31]",[],1,8,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.1, 'max': 0.35}, {'min': 0.1, 'max': 0.35}]}]",0,0,"[{'modDisplayName': 'Damage Reflected', 'property': 86, 'specialTag': 0, 'tags': 0, 'modifierType': 0, 'setProperty': 0}, {'modDisplayName': 'Minion Damage Reflected', 'property': 86, 'specialTag': 0, 'tags': 8192, 'modifierType': 0, 'setProperty': 0}]",T4
267,False,Idol Acolyte Less Health Regen And Damage Taken Over Time,Health Regen And Damage Taken Over Time,of Coagulation,267,0,1,0,0,0,"[29, 31]",[],1,16,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': -0.04, 'max': -0.1}, {'min': -0.04, 'max': -0.1}]}]",0,0,"[{'modDisplayName': 'Health Regen', 'property': 17, 'specialTag': 0, 'tags': 0, 'modifierType': 2, 'setProperty': 0}, {'modDisplayName': 'Damage Over Time Taken', 'property': 6, 'specialTag': 0, 'tags': 4096, 'modifierType': 2, 'setProperty': 0}]",T4
291,False,Idol Acolyte Plague Chance On Hit And Increased Plague Effect,Plague Chance On Hit And Increased Plague Effect,Scourging,291,0,0,0,0,0,[30],[],1,16,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.09, 'max': 0.25}, {'min': 0.09, 'max': 0.25}]}]",0,0,"[{'modDisplayName': 'Chance To Inflict Plague on Hit', 'property': 1, 'specialTag': 18, 'tags': 0, 'modifierType': 0, 'setProperty': 0}, {'modDisplayName': 'Plague Effect', 'property': 43, 'specialTag': 18, 'tags': 0, 'modifierType': 1, 'setProperty': 0}]",T4
297,False,Idol Acolyte Shared Increased Critical Strike Chance,Critical Strike Chance For You And Your Minions,of Cruelty,297,0,1,0,0,0,"[30, 32, 33]",[],1,16,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.15, 'max': 0.4}, {'min': 0.15, 'max': 0.4}]}]",0,0,"[{'modDisplayName': 'Critical Strike Chance', 'property': 4, 'specialTag': 0, 'tags': 0, 'modifierType': 1, 'setProperty': 0}, {'modDisplayName': 'Minion Critical Strike Chance', 'property': 4, 'specialTag': 0, 'tags': 8192, 'modifierType': 1, 'setProperty': 0}]",T4
305,False,Idol Sentinel Critical Strike Multiplier With Rive And Judgement,Critical Strike Multiplier With Rive And Judgement,Judicator's,305,0,0,0,0,0,[31],[],1,8,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.17, 'max': 0.45}, {'min': 0.17, 'max': 0.45}]}]",0,0,"[{'modDisplayName': 'Judgement Critical Strike Multiplier', 'property': 58, 'specialTag': 0, 'tags': 197, 'modifierType': 0, 'setProperty': 0}, {'modDisplayName': 'Rive Critical Strike Multiplier', 'property': 58, 'specialTag': 0, 'tags': 91, 'modifierType': 0, 'setProperty': 0}]",T4
306,False,Idol Sentinel Increased Area With Rive And Forge Strike,Increased Area With Rive And Forge Strike,Broad,306,0,0,0,0,0,[31],[],1,8,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.11, 'max': 0.3}, {'min': 0.11, 'max': 0.3}]}]",0,0,"[{'modDisplayName': 'Increased Area with Rive', 'property': 58, 'specialTag': 1, 'tags': 91, 'modifierType': 0, 'setProperty': 0}, {'modDisplayName': 'Increased Area with Forge Strike', 'property': 58, 'specialTag': 0, 'tags': 218, 'modifierType': 0, 'setProperty': 0}]",T4
307,False,Idol Sentinel Increased Damage With Vengeance And Smite,Increased Damage With Vengeance And Smite,Wrathful,307,0,0,0,0,0,[30],[],1,8,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.3, 'max': 0.8}, {'min': 0.3, 'max': 0.8}]}]",0,0,"[{'modDisplayName': 'Increased Damage With Vengeance', 'property': 58, 'specialTag': 0, 'tags': 107, 'modifierType': 0, 'setProperty': 0}, {'modDisplayName': 'Increased Damage With Smite', 'property': 58, 'specialTag': 0, 'tags': 216, 'modifierType': 0, 'setProperty': 0}]",T4
302,False,Idol Acolyte Increased Marrow Shards And Bone Nova Projectile Speed,Increased Projectile Speed With Marrow Shards And Bone Nova,Fractured,302,0,0,0,0,0,[32],[],1,16,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.1, 'max': 0.3}, {'min': 0.1, 'max': 0.3}]}]",0,0,"[{'modDisplayName': 'Increased Projectile Speed With Marrow Shards', 'property': 58, 'specialTag': 0, 'tags': 143, 'modifierType': 0, 'setProperty': 0}, {'modDisplayName': 'Increased Projectile Speed With Bone Nova', 'property': 58, 'specialTag': 0, 'tags': 139, 'modifierType': 0, 'setProperty': 0}]",T4
312,False,Idol Acolyte Increased Damage With Rip Blood And Blood Splatter,Increased Damage With Rip Blood And Blood Splatter,Grisly,312,0,0,0,0,0,[33],[],1,16,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.28, 'max': 0.75}, {'min': 0.28, 'max': 0.75}]}]",0,0,"[{'modDisplayName': 'Increased Rip Blood Damage', 'property': 58, 'specialTag': 0, 'tags': 137, 'modifierType': 0, 'setProperty': 0}, {'modDisplayName': 'Increased Blood Splatter Damage', 'property': 58, 'specialTag': 0, 'tags': 138, 'modifierType': 0, 'setProperty': 0}]",T4
313,False,Idol Acolyte Critical Strike Chance For Skeletons And Skeletal Mages,Critical Strike Chance For Skeletons And Skeletal Mages,Precise,313,0,0,0,0,0,[29],[],1,16,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.01, 'max': 0.03}, {'min': 0.01, 'max': 0.03}]}]",0,0,"[{'modDisplayName': 'Skeleton Critical Strike Chance', 'property': 58, 'specialTag': 0, 'tags': 120, 'modifierType': 0, 'setProperty': 0}, {'modDisplayName': 'Skeletal Mage Critical Strike Chance', 'property': 58, 'specialTag': 0, 'tags': 291, 'modifierType': 0, 'setProperty': 0}]",T4
314,False,Idol Acolyte Damage Reflected For Skeletons And Skeletal Mages,Damage Reflected For Skeletons And Skeletal Mages,Barbed,314,0,0,0,0,0,[32],[],1,16,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.07, 'max': 0.18}, {'min': 0.07, 'max': 0.18}]}]",0,0,"[{'modDisplayName': 'Damage Reflected For Skeletons', 'property': 58, 'specialTag': 1, 'tags': 120, 'modifierType': 0, 'setProperty': 0}, {'modDisplayName': 'Damage Reflected For Skeleton Mages', 'property': 58, 'specialTag': 1, 'tags': 291, 'modifierType': 0, 'setProperty': 0}]",T4
319,False,Idol Shared Physical Damage,Shared Physical Damage,of Iron,319,0,1,0,0,0,"[25, 27, 29, 31]","[{'equipmentType': 29, 'rerollChance': 0.6}, {'equipmentType': 31, 'rerollChance': 0.6}]",1,59,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.17, 'max': 0.45}, {'min': 0.17, 'max': 0.45}]}]",0,0,"[{'modDisplayName': 'Physical Damage', 'property': 0, 'specialTag': 0, 'tags': 1, 'modifierType': 1, 'setProperty': 0}, {'modDisplayName': 'Minion Physical Damage', 'property': 0, 'specialTag': 0, 'tags': 8193, 'modifierType': 1, 'setProperty': 0}]",T4
320,False,Idol Shared Lightning Damage,Shared Lightning Damage,of Storms,320,0,1,0,0,0,"[26, 28, 30, 32]","[{'equipmentType': 30, 'rerollChance': 0.6}, {'equipmentType': 32, 'rerollChance': 0.6}]",1,7,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.17, 'max': 0.45}, {'min': 0.17, 'max': 0.45}]}]",0,0,"[{'modDisplayName': 'Lightning Damage', 'property': 0, 'specialTag': 0, 'tags': 2, 'modifierType': 1, 'setProperty': 0}, {'modDisplayName': 'Minion Lightning Damage', 'property': 0, 'specialTag': 0, 'tags': 8194, 'modifierType': 1, 'setProperty': 0}]",T4
321,False,Idol Shared Cold Damage,Shared Cold Damage,of Ice,321,0,1,0,0,0,"[26, 28, 30, 32]","[{'equipmentType': 30, 'rerollChance': 0.6}, {'equipmentType': 32, 'rerollChance': 0.6}]",1,7,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.17, 'max': 0.45}, {'min': 0.17, 'max': 0.45}]}]",0,0,"[{'modDisplayName': 'Cold Damage', 'property': 0, 'specialTag': 0, 'tags': 4, 'modifierType': 1, 'setProperty': 0}, {'modDisplayName': 'Minion Cold Damage', 'property': 0, 'specialTag': 0, 'tags': 8196, 'modifierType': 1, 'setProperty': 0}]",T4
322,False,Idol Shared Fire Damage,Shared Fire Damage,of Fire,322,0,1,0,0,0,"[26, 28, 30, 32]","[{'equipmentType': 30, 'rerollChance': 0.6}, {'equipmentType': 32, 'rerollChance': 0.6}]",1,61,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.17, 'max': 0.45}, {'min': 0.17, 'max': 0.45}]}]",0,0,"[{'modDisplayName': 'Fire Damage', 'property': 0, 'specialTag': 0, 'tags': 8, 'modifierType': 1, 'setProperty': 0}, {'modDisplayName': 'Minion Fire Damage', 'property': 0, 'specialTag': 0, 'tags': 8200, 'modifierType': 1, 'setProperty': 0}]",T4
323,False,Idol Shared Void Damage,Shared Void Damage,of Doom,323,0,1,0,0.2,0,"[25, 27, 29, 31]",[],1,9,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.17, 'max': 0.45}, {'min': 0.17, 'max': 0.45}]}]",0,0,"[{'modDisplayName': 'Void Damage', 'property': 0, 'specialTag': 0, 'tags': 16, 'modifierType': 1, 'setProperty': 0}, {'modDisplayName': 'Minion Void Damage', 'property': 0, 'specialTag': 0, 'tags': 8208, 'modifierType': 1, 'setProperty': 0}]",T4
324,False,Idol Shared Necrotic Damage,Shared Necrotic Damage,of Souls,324,0,1,0,0,0,"[25, 27, 29, 31]","[{'equipmentType': 29, 'rerollChance': 0.6}, {'equipmentType': 31, 'rerollChance': 0.6}]",1,17,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.17, 'max': 0.45}, {'min': 0.17, 'max': 0.45}]}]",0,0,"[{'modDisplayName': 'Necrotic Damage', 'property': 0, 'specialTag': 0, 'tags': 32, 'modifierType': 1, 'setProperty': 0}, {'modDisplayName': 'Minion Necrotic Damage', 'property': 0, 'specialTag': 0, 'tags': 8224, 'modifierType': 1, 'setProperty': 0}]",T4
325,False,Idol Shared Poison Damage,Shared Poison Damage,of Poison,325,0,1,0,0,0,"[25, 27, 29, 31]","[{'equipmentType': 29, 'rerollChance': 0.6}, {'equipmentType': 31, 'rerollChance': 0.6}]",1,51,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.17, 'max': 0.45}, {'min': 0.17, 'max': 0.45}]}]",0,0,"[{'modDisplayName': 'Poison Damage', 'property': 0, 'specialTag': 0, 'tags': 64, 'modifierType': 1, 'setProperty': 0}, {'modDisplayName': 'Minion Poison Damage', 'property': 0, 'specialTag': 0, 'tags': 8256, 'modifierType': 1, 'setProperty': 0}]",T4
246,False,Idol Mage Increased Volcanic Orb Damage And Reduced Speed,Increased Volcanic Orb Damage And Reduced Speed,Obsidian,246,0,0,0,0,0,[31],[],1,4,"[{'tierName': None, 'requiredLevel': 0, 'rolls': [{'min': 0.2, 'max': 0.55}, {'min': 0.2, 'max': 0.55}]}]",0,0,"[{'modDisplayName': 'Increased Volcanic Orb Damage', 'property': 58, 'specialTag': 0, 'tags': 78, 'modifierType': 0, 'setProperty': 0}, {'modDisplayName': 'Reduced Volcanic Orb Speed', 'property': 58, 'specialTag': 1, 'tags': 78, 'modifierType': 0, 'setProperty': 0}]",T4
