,Unnamed: 0,baseTypeName,baseTypeId,maxAffixes,affixEffectModifier,size,type,isWeapon,maxSockets,minimumDropLevel,rerollChance,subTypeClassSpecificity,classAffinity,affinityRerollChance,usePerClassIncompatibilityDropLists,perClassIncompatibilityDropLists,displayName,subTypeId,levelRequirement,cannotDrop,itemTags,implicits,addedWeaponRange,attackRate,classRequirement,subClassRequirement,IMSetTier,uniques.1.displayName,uniques.1.overrideLevelRequirement,uniques.1.levelRequirement,uniques.1.uniqueId,uniques.1.setId,uniques.1.rerollChance,uniques.1.noWorldDrops,uniques.1.isFractureUnique,uniques.1.isSetUnique,uniques.1.isLegendary,uniques.1.basicMods,uniques.1.descriptionParts,uniques.1.loreText,uniques.1.sprite,uniques.1.hideLevelRequirement,uniques.2.displayName,uniques.2.overrideLevelRequirement,uniques.2.levelRequirement,uniques.2.uniqueId,uniques.2.setId,uniques.2.rerollChance,uniques.2.noWorldDrops,uniques.2.isFractureUnique,uniques.2.isSetUnique,uniques.2.isLegendary,uniques.2.basicMods,uniques.2.descriptionParts,uniques.2.loreText,uniques.2.sprite,uniques.2.hideLevelRequirement
10,10,Helmets,0,4,0.0,"{'x': 2, 'y': 2}",0,0,0,0,0.0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]",Heretic Cage,12,46,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 127, 'implicitMaxValue': 127}]",0.0,1.0,8,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,Helmets,0,4,0.0,"{'x': 2, 'y': 2}",0,0,0,0,0.0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]",Ivory Mask,13,61,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 73, 'implicitMaxValue': 73}, {'property': 0, 'specialTag': 0, 'tags': 8192, 'type': 1, 'implicitValue': 0.3, 'implicitMaxValue': 0.6}]",0.0,1.0,8,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,Helmets,0,4,0.0,"{'x': 2, 'y': 2}",0,0,0,0,0.0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]",Profane Mask,14,64,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 89, 'implicitMaxValue': 89}, {'property': 0, 'specialTag': 0, 'tags': 256, 'type': 1, 'implicitValue': 0.3, 'implicitMaxValue': 0.6}]",0.0,1.0,8,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,Helmets,0,4,0.0,"{'x': 2, 'y': 2}",0,0,0,0,0.0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]",Burial Mask,15,70,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 103, 'implicitMaxValue': 103}, {'property': 41, 'specialTag': 0, 'tags': 8192, 'type': 0, 'implicitValue': 10, 'implicitMaxValue': 15}]",0.0,1.0,8,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,Helmets,0,4,0.0,"{'x': 2, 'y': 2}",0,0,0,0,0.0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]",Copper Circlet,16,0,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 10, 'implicitMaxValue': 10}]",0.0,1.0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,Helmets,0,4,0.0,"{'x': 2, 'y': 2}",0,0,0,0,0.0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]",Weathered Crown,17,6,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 20, 'implicitMaxValue': 20}, {'property': 8, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 7, 'implicitMaxValue': 15}]",0.0,1.0,2,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,Helmets,0,4,0.0,"{'x': 2, 'y': 2}",0,0,0,0,0.0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]",Shadow Crest,18,15,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 18, 'implicitMaxValue': 18}, {'property': 4, 'specialTag': 0, 'tags': 0, 'type': 1, 'implicitValue': 0.1, 'implicitMaxValue': 0.25}]",0.0,1.0,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,Helmets,0,4,0.0,"{'x': 2, 'y': 2}",0,0,0,0,0.0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]",Ruby Circlet,19,29,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 32, 'implicitMaxValue': 32}, {'property': 13, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 0.1, 'implicitMaxValue': 0.18}]",0.0,1.0,2,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,Helmets,0,4,0.0,"{'x': 2, 'y': 2}",0,0,0,0,0.0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]",Silver Crown,20,42,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 70, 'implicitMaxValue': 70}, {'property': 16, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 0.15, 'implicitMaxValue': 0.3}]",0.0,1.0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,Helmets,0,4,0.0,"{'x': 2, 'y': 2}",0,0,0,0,0.0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]",Diadem,21,59,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 55, 'implicitMaxValue': 55}, {'property': 8, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 15, 'implicitMaxValue': 35}]",0.0,1.0,2,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,Helmets,0,4,0.0,"{'x': 2, 'y': 2}",0,0,0,0,0.0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]",Solar Crown,22,68,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 70, 'implicitMaxValue': 70}, {'property': 0, 'specialTag': 0, 'tags': 8, 'type': 1, 'implicitValue': 0.3, 'implicitMaxValue': 0.6}]",0.0,1.0,2,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,Helmets,0,4,0.0,"{'x': 2, 'y': 2}",0,0,0,0,0.0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]",Gilded Crown,23,72,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 70, 'implicitMaxValue': 70}, {'property': 4, 'specialTag': 0, 'tags': 0, 'type': 1, 'implicitValue': 0.4, 'implicitMaxValue': 0.7}]",0.0,1.0,2,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,Helmets,0,4,0.0,"{'x': 2, 'y': 2}",0,0,0,0,0.0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]",Leather Cowl,24,0,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 12, 'implicitMaxValue': 12}]",0.0,1.0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,Helmets,0,4,0.0,"{'x': 2, 'y': 2}",0,0,0,0,0.0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]",Wolf Pelt,25,12,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 16, 'implicitMaxValue': 16}, {'property': 19, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 1, 'implicitMaxValue': 3}]",0.0,1.0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,Helmets,0,4,0.0,"{'x': 2, 'y': 2}",0,0,0,0,0.0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]",Forest Cowl,26,22,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 44, 'implicitMaxValue': 44}]",0.0,1.0,1,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,Helmets,0,4,0.0,"{'x': 2, 'y': 2}",0,0,0,0,0.0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]",Nomad Cowl,27,30,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 54, 'implicitMaxValue': 54}, {'property': 14, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 0.14, 'implicitMaxValue': 0.22}]",0.0,1.0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26,Helmets,0,4,0.0,"{'x': 2, 'y': 2}",0,0,0,0,0.0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]",Ivory Cowl,28,42,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 70, 'implicitMaxValue': 70}, {'property': 19, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 3, 'implicitMaxValue': 5}]",0.0,1.0,1,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,27,Helmets,0,4,0.0,"{'x': 2, 'y': 2}",0,0,0,0,0.0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]",Farwood Cowl,29,61,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 120, 'implicitMaxValue': 120}, {'property': 18, 'specialTag': 0, 'tags': 0, 'type': 1, 'implicitValue': 0.1, 'implicitMaxValue': 0.2}]",0.0,1.0,1,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28,Helmets,0,4,0.0,"{'x': 2, 'y': 2}",0,0,0,0,0.0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]",Darkwolf Pelt,30,67,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 110, 'implicitMaxValue': 110}, {'property': 0, 'specialTag': 0, 'tags': 1, 'type': 1, 'implicitValue': 0.3, 'implicitMaxValue': 0.6}, {'property': 0, 'specialTag': 0, 'tags': 8193, 'type': 1, 'implicitValue': 0.3, 'implicitMaxValue': 0.6}]",0.0,1.0,1,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,Helmets,0,4,0.0,"{'x': 2, 'y': 2}",0,0,0,0,0.0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]",Icewolf Pelt,31,67,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 110, 'implicitMaxValue': 110}, {'property': 14, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 0.32, 'implicitMaxValue': 0.44}, {'property': 67, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 1, 'implicitMaxValue': 2}]",0.0,1.0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,Helmets,0,4,0.0,"{'x': 2, 'y': 2}",0,0,0,0,0.0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]",Battered Helm,32,0,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 30, 'implicitMaxValue': 30}]",0.0,1.0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,31,Helmets,0,4,0.0,"{'x': 2, 'y': 2}",0,0,0,0,0.0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]",Crested Helm,33,4,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 40, 'implicitMaxValue': 40}]",0.0,1.0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32,Helmets,0,4,0.0,"{'x': 2, 'y': 2}",0,0,0,0,0.0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]",Solar Helm,34,13,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 45, 'implicitMaxValue': 45}, {'property': 13, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 0.05, 'implicitMaxValue': 0.1}]",0.0,1.0,4,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,33,Helmets,0,4,0.0,"{'x': 2, 'y': 2}",0,0,0,0,0.0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]",Full Helm,35,28,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 95, 'implicitMaxValue': 95}]",0.0,1.0,4,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,34,Helmets,0,4,0.0,"{'x': 2, 'y': 2}",0,0,0,0,0.0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]",Bronze Helm,36,42,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 70, 'implicitMaxValue': 70}, {'property': 15, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 0.14, 'implicitMaxValue': 0.28}]",0.0,1.0,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35,Helmets,0,4,0.0,"{'x': 2, 'y': 2}",0,0,0,0,0.0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]",Myrmidon Helm,37,60,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 150, 'implicitMaxValue': 150}, {'property': 5, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 0.1, 'implicitMaxValue': 0.25}]",0.0,1.0,4,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,36,Helmets,0,4,0.0,"{'x': 2, 'y': 2}",0,0,0,0,0.0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]",Dawn Helm,38,68,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 300, 'implicitMaxValue': 300}]",0.0,1.0,4,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,37,Helmets,0,4,0.0,"{'x': 2, 'y': 2}",0,0,0,0,0.0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]",Winged Helm,39,70,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 210, 'implicitMaxValue': 210}, {'property': 89, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 0.15, 'implicitMaxValue': 0.35}]",0.0,1.0,4,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,38,Helmets,0,4,0.0,"{'x': 2, 'y': 2}",0,0,0,0,0.0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]",Celestial Helm,40,71,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 125, 'implicitMaxValue': 125}, {'property': 8, 'specialTag': 0, 'tags': 0, 'type': 1, 'implicitValue': 0.05, 'implicitMaxValue': 0.12}]",0.0,1.0,2,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,39,Helmets,0,4,0.0,"{'x': 2, 'y': 2}",0,0,0,0,0.0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]",Horned Cowl,41,70,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 142, 'implicitMaxValue': 142}, {'property': 51, 'specialTag': 1, 'tags': 0, 'type': 0, 'implicitValue': 0.3, 'implicitMaxValue': 0.5}]",0.0,1.0,1,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,40,Helmets,0,4,0.0,"{'x': 2, 'y': 2}",0,0,0,0,0.0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]",Leather Mask,42,0,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 11, 'implicitMaxValue': 11}]",0.0,1.0,16,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,41,Helmets,0,4,0.0,"{'x': 2, 'y': 2}",0,0,0,0,0.0,1,0,0,1,"[[24], [16, 17], [32, 33], [8, 9], [42, 43]]",Cloth Hood,43,7,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 18, 'implicitMaxValue': 18}]",0.0,1.0,16,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
