,displayName,subTypeId,levelRequirement,cannotDrop,itemTags,implicits,addedWeaponRange,attackRate,classRequirement,subClassRequirement,IMSetTier,uniques.1.displayName,uniques.1.overrideLevelRequirement,uniques.1.levelRequirement,uniques.1.uniqueId,uniques.1.setId,uniques.1.rerollChance,uniques.1.noWorldDrops,uniques.1.isFractureUnique,uniques.1.isSetUnique,uniques.1.isLegendary,uniques.1.basicMods,uniques.1.descriptionParts,uniques.1.loreText,uniques.1.sprite,uniques.1.hideLevelRequirement,uniques.2.displayName,uniques.2.overrideLevelRequirement,uniques.2.levelRequirement,uniques.2.uniqueId,uniques.2.setId,uniques.2.rerollChance,uniques.2.noWorldDrops,uniques.2.isFractureUnique,uniques.2.isSetUnique,uniques.2.isLegendary,uniques.2.basicMods,uniques.2.descriptionParts,uniques.2.loreText,uniques.2.sprite,uniques.2.hideLevelRequirement
10,Heretic Cage,12,46,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 127, 'implicitMaxValue': 127}]",0.0,1.0,8,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Ivory Mask,13,61,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 73, 'implicitMaxValue': 73}, {'property': 0, 'specialTag': 0, 'tags': 8192, 'type': 1, 'implicitValue': 0.3, 'implicitMaxValue': 0.6}]",0.0,1.0,8,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Profane Mask,14,64,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 89, 'implicitMaxValue': 89}, {'property': 0, 'specialTag': 0, 'tags': 256, 'type': 1, 'implicitValue': 0.3, 'implicitMaxValue': 0.6}]",0.0,1.0,8,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Burial Mask,15,70,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 103, 'implicitMaxValue': 103}, {'property': 41, 'specialTag': 0, 'tags': 8192, 'type': 0, 'implicitValue': 10, 'implicitMaxValue': 15}]",0.0,1.0,8,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Copper Circlet,16,0,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 10, 'implicitMaxValue': 10}]",0.0,1.0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Weathered Crown,17,6,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 20, 'implicitMaxValue': 20}, {'property': 8, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 7, 'implicitMaxValue': 15}]",0.0,1.0,2,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Shadow Crest,18,15,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 18, 'implicitMaxValue': 18}, {'property': 4, 'specialTag': 0, 'tags': 0, 'type': 1, 'implicitValue': 0.1, 'implicitMaxValue': 0.25}]",0.0,1.0,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Ruby Circlet,19,29,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 32, 'implicitMaxValue': 32}, {'property': 13, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 0.1, 'implicitMaxValue': 0.18}]",0.0,1.0,2,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Silver Crown,20,42,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 70, 'implicitMaxValue': 70}, {'property': 16, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 0.15, 'implicitMaxValue': 0.3}]",0.0,1.0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Diadem,21,59,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 55, 'implicitMaxValue': 55}, {'property': 8, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 15, 'implicitMaxValue': 35}]",0.0,1.0,2,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Solar Crown,22,68,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 70, 'implicitMaxValue': 70}, {'property': 0, 'specialTag': 0, 'tags': 8, 'type': 1, 'implicitValue': 0.3, 'implicitMaxValue': 0.6}]",0.0,1.0,2,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Gilded Crown,23,72,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 70, 'implicitMaxValue': 70}, {'property': 4, 'specialTag': 0, 'tags': 0, 'type': 1, 'implicitValue': 0.4, 'implicitMaxValue': 0.7}]",0.0,1.0,2,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Leather Cowl,24,0,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 12, 'implicitMaxValue': 12}]",0.0,1.0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Wolf Pelt,25,12,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 16, 'implicitMaxValue': 16}, {'property': 19, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 1, 'implicitMaxValue': 3}]",0.0,1.0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Forest Cowl,26,22,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 44, 'implicitMaxValue': 44}]",0.0,1.0,1,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Nomad Cowl,27,30,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 54, 'implicitMaxValue': 54}, {'property': 14, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 0.14, 'implicitMaxValue': 0.22}]",0.0,1.0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Ivory Cowl,28,42,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 70, 'implicitMaxValue': 70}, {'property': 19, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 3, 'implicitMaxValue': 5}]",0.0,1.0,1,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Farwood Cowl,29,61,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 120, 'implicitMaxValue': 120}, {'property': 18, 'specialTag': 0, 'tags': 0, 'type': 1, 'implicitValue': 0.1, 'implicitMaxValue': 0.2}]",0.0,1.0,1,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Darkwolf Pelt,30,67,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 110, 'implicitMaxValue': 110}, {'property': 0, 'specialTag': 0, 'tags': 1, 'type': 1, 'implicitValue': 0.3, 'implicitMaxValue': 0.6}, {'property': 0, 'specialTag': 0, 'tags': 8193, 'type': 1, 'implicitValue': 0.3, 'implicitMaxValue': 0.6}]",0.0,1.0,1,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Icewolf Pelt,31,67,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 110, 'implicitMaxValue': 110}, {'property': 14, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 0.32, 'implicitMaxValue': 0.44}, {'property': 67, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 1, 'implicitMaxValue': 2}]",0.0,1.0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Battered Helm,32,0,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 30, 'implicitMaxValue': 30}]",0.0,1.0,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Crested Helm,33,4,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 40, 'implicitMaxValue': 40}]",0.0,1.0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Solar Helm,34,13,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 45, 'implicitMaxValue': 45}, {'property': 13, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 0.05, 'implicitMaxValue': 0.1}]",0.0,1.0,4,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Full Helm,35,28,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 95, 'implicitMaxValue': 95}]",0.0,1.0,4,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Bronze Helm,36,42,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 70, 'implicitMaxValue': 70}, {'property': 15, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 0.14, 'implicitMaxValue': 0.28}]",0.0,1.0,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Myrmidon Helm,37,60,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 150, 'implicitMaxValue': 150}, {'property': 5, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 0.1, 'implicitMaxValue': 0.25}]",0.0,1.0,4,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Dawn Helm,38,68,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 300, 'implicitMaxValue': 300}]",0.0,1.0,4,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Winged Helm,39,70,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 210, 'implicitMaxValue': 210}, {'property': 89, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 0.15, 'implicitMaxValue': 0.35}]",0.0,1.0,4,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Celestial Helm,40,71,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 125, 'implicitMaxValue': 125}, {'property': 8, 'specialTag': 0, 'tags': 0, 'type': 1, 'implicitValue': 0.05, 'implicitMaxValue': 0.12}]",0.0,1.0,2,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Horned Cowl,41,70,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 142, 'implicitMaxValue': 142}, {'property': 51, 'specialTag': 1, 'tags': 0, 'type': 0, 'implicitValue': 0.3, 'implicitMaxValue': 0.5}]",0.0,1.0,1,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Leather Mask,42,0,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 11, 'implicitMaxValue': 11}]",0.0,1.0,16,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Cloth Hood,43,7,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 18, 'implicitMaxValue': 18}]",0.0,1.0,16,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Verdant Hood,44,24,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 16, 'implicitMaxValue': 16}, {'property': 0, 'specialTag': 0, 'tags': 4096, 'type': 1, 'implicitValue': 0.1, 'implicitMaxValue': 0.24}]",0.0,1.0,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Desert Mask,45,32,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 32, 'implicitMaxValue': 32}, {'property': 11, 'specialTag': 0, 'tags': 0, 'type': 1, 'implicitValue': 0.1, 'implicitMaxValue': 0.24}]",0.0,1.0,16,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Dusk Hood,46,38,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 26, 'implicitMaxValue': 26}, {'property': 8, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 14, 'implicitMaxValue': 32}]",0.0,1.0,16,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Kelthan Mask,47,53,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 46, 'implicitMaxValue': 46}, {'property': 28, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 0.18, 'implicitMaxValue': 0.36}]",0.0,1.0,16,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Blood Cowl,48,57,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 86, 'implicitMaxValue': 86}, {'property': 51, 'specialTag': 1, 'tags': 0, 'type': 0, 'implicitValue': 0.1, 'implicitMaxValue': 0.2}]",0.0,1.0,16,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Scalebane Grimace,49,63,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 94, 'implicitMaxValue': 94}, {'property': 0, 'specialTag': 0, 'tags': 4096, 'type': 1, 'implicitValue': 0.2, 'implicitMaxValue': 0.5}]",0.0,1.0,16,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Umbral Visage,50,70,0,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 78, 'implicitMaxValue': 78}, {'property': 5, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 0.15, 'implicitMaxValue': 0.25}]",0.0,1.0,16,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Refuge Armor,0,0,1,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 20, 'implicitMaxValue': 20}]",0.0,1.0,0,0,0,The Falcon,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'value': 45, 'property': 11, 'specialTag': 0, 'tags': 0, 'type': 0, 'hideStatMod': 0}]","[{'description': '15% increased movement speed if you have hit an enemy in the last 5 seconds', 'altText': None, 'setPart': 0, 'setItemRequirement': 0}]", May the dying breaths of your enemies put air beneath your wings,IIwBhrB2cg.png,True,,,,,,,,,,,,,,,
50,Leather Coat,1,5,1,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 25, 'implicitMaxValue': 25}]",0.0,1.0,0,0,1,Doublet of Onos Tull,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'value': 0.4, 'property': 1, 'specialTag': 2, 'tags': 8192, 'type': 0, 'hideStatMod': 1}, {'value': 1, 'property': 42, 'specialTag': 2, 'tags': 8192, 'type': 0, 'hideStatMod': 1}, {'value': 60, 'property': 7, 'specialTag': 0, 'tags': 0, 'type': 0, 'hideStatMod': 0}]","[{'description': 'Minions have +40% Chance to Bleed on Hit', 'altText': None, 'setPart': 0, 'setItemRequirement': 0}, {'description': 'Minions have 100% Increased Bleed Duration', 'altText': None, 'setPart': 0, 'setItemRequirement': 0}]","The horns of the Immortal Empire fill the hearts of the living with fear, and the bones of the dead with glory",IIwBhvB2cg.png,True,Prism Wraps,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'value': -0.3, 'property': 6, 'specialTag': 0, 'tags': 128, 'type': 2, 'hideStatMod': 0}, {'value': 0.3, 'property': 0, 'specialTag': 0, 'tags': 128, 'type': 1, 'hideStatMod': 0}, {'value': 3, 'property': 51, 'specialTag': 2, 'tags': 128, 'type': 0, 'hideStatMod': 0}]",[],"the elements shift like light through a prism, if you control the prism you control the elements",IIwBhvB2ECYg.png,True
51,Iron Armor,2,15,1,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 50, 'implicitMaxValue': 50}]",0.0,1.0,0,0,2,Urzil's Pride,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'value': 25, 'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'hideStatMod': 0}, {'value': 40, 'property': 8, 'specialTag': 0, 'tags': 0, 'type': 0, 'hideStatMod': 0}, {'value': 9, 'property': 19, 'specialTag': 0, 'tags': 0, 'type': 0, 'hideStatMod': 0}]","[{'description': '2% increased mana regeneration per 100 points of armour', 'altText': None, 'setPart': 0, 'setItemRequirement': 0}]",Strength of mind and strength of body are a potent combination,IIwBhpAmB2cg.png,True,,,,,,,,,,,,,,,
52,Noble Raiment,3,23,1,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 32, 'implicitMaxValue': 32}, {'property': 41, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 2, 'implicitMaxValue': 7}]",0.0,1.0,0,0,8,Exsanguinous,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'value': 0.2, 'property': 2, 'specialTag': 0, 'tags': 65536, 'type': 1, 'hideStatMod': 1}, {'value': 0.2, 'property': 3, 'specialTag': 0, 'tags': 65536, 'type': 1, 'hideStatMod': 1}, {'value': 0.2, 'property': 9, 'specialTag': 0, 'tags': 65536, 'type': 1, 'hideStatMod': 1}]","[{'description': 'You lose 20% of your current health per second', 'altText': 'This is not affected by increases and reductions to health drain effects', 'setPart': 0, 'setItemRequirement': 0}, {'description': 'Gain 20% of your missing health as ward per second', 'altText': None, 'setPart': 0, 'setItemRequirement': 0}, {'description': '20% increased attack speed, cast speed, and movement speed if you have used a potion in the past 4 seconds', 'altText': None, 'setPart': 0, 'setItemRequirement': 0}, {'description': 'Immunity to Bleed at low health', 'altText': None, 'setPart': 0, 'setItemRequirement': 0}]",Crazed is the mind of a blood starved Lich,IIwBhpBmB2cg.png,True,,,,,,,,,,,,,,,
53,Banded Armor,4,27,1,0,"[{'property': 10, 'specialTag': 0, 'tags': 0, 'type': 0, 'implicitValue': 85, 'implicitMaxValue': 85}]",0.0,1.0,0,0,4,Yrun's Wisdom,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"[{'value': 65, 'property': 7, 'specialTag': 0, 'tags': 0, 'type': 0, 'hideStatMod': 0}]","[{'description': '+30 melee cold damage when above 65% health', 'altText': None, 'setPart': 0, 'setItemRequirement': 0}, {'description': '30% of melee damage leeched as health when below 65% health', 'altText': None, 'setPart': 0, 'setItemRequirement': 0}]","Yrun was wise in battle, but not in his betrayal of Heorot.",IIwBhpAWB2cg.png,True,,,,,,,,,,,,,,,
